date,symbol,close,tradecount
4/15/22,1INCHBUSD,1.518,2497
4/14/22,1INCHBUSD,1.515,3267
4/13/22,1INCHBUSD,1.551,3113
4/12/22,1INCHBUSD,1.515,3533
4/11/22,1INCHBUSD,1.461,6436
4/10/22,1INCHBUSD,1.585,3671
4/9/22,1INCHBUSD,1.668,3987
4/8/22,1INCHBUSD,1.575,5701
4/7/22,1INCHBUSD,1.66,6112
4/6/22,1INCHBUSD,1.602,12458
4/5/22,1INCHBUSD,1.839,6578
4/4/22,1INCHBUSD,1.901,10026
4/3/22,1INCHBUSD,1.983,9049
4/2/22,1INCHBUSD,1.921,23101
4/1/22,1INCHBUSD,1.885,8931
3/31/22,1INCHBUSD,1.776,12042
3/30/22,1INCHBUSD,1.839,10141
3/29/22,1INCHBUSD,1.797,10963
3/28/22,1INCHBUSD,1.724,10490
3/27/22,1INCHBUSD,1.746,13902
3/26/22,1INCHBUSD,1.626,4773
3/25/22,1INCHBUSD,1.573,7666
3/24/22,1INCHBUSD,1.63,8206
3/23/22,1INCHBUSD,1.614,7607
3/22/22,1INCHBUSD,1.548,5948
3/21/22,1INCHBUSD,1.535,6588
3/20/22,1INCHBUSD,1.556,7288
3/19/22,1INCHBUSD,1.635,12759
3/18/22,1INCHBUSD,1.588,13381
3/17/22,1INCHBUSD,1.48,5257
3/16/22,1INCHBUSD,1.511,14782
3/15/22,1INCHBUSD,1.354,4032
3/14/22,1INCHBUSD,1.334,2894
3/13/22,1INCHBUSD,1.309,5027
3/12/22,1INCHBUSD,1.332,4327
3/11/22,1INCHBUSD,1.319,4489
3/10/22,1INCHBUSD,1.374,9732
3/9/22,1INCHBUSD,1.376,3552
3/8/22,1INCHBUSD,1.297,4736
3/7/22,1INCHBUSD,1.272,4264
3/6/22,1INCHBUSD,1.303,4320
3/5/22,1INCHBUSD,1.357,2648
3/4/22,1INCHBUSD,1.349,6434
3/3/22,1INCHBUSD,1.435,5216
3/2/22,1INCHBUSD,1.498,6478
3/1/22,1INCHBUSD,1.522,6818
2/28/22,1INCHBUSD,1.505,4996
2/27/22,1INCHBUSD,1.385,6051
2/26/22,1INCHBUSD,1.436,2969
2/25/22,1INCHBUSD,1.45,3673
2/24/22,1INCHBUSD,1.342,7908
2/23/22,1INCHBUSD,1.383,3051
2/22/22,1INCHBUSD,1.421,3416
2/21/22,1INCHBUSD,1.366,5581
2/20/22,1INCHBUSD,1.484,3599
2/19/22,1INCHBUSD,1.582,2023
2/18/22,1INCHBUSD,1.588,3951
2/17/22,1INCHBUSD,1.661,6154
2/16/22,1INCHBUSD,1.802,5229
2/15/22,1INCHBUSD,1.799,3695
2/14/22,1INCHBUSD,1.698,4857
2/13/22,1INCHBUSD,1.656,2799
2/12/22,1INCHBUSD,1.692,3271
2/11/22,1INCHBUSD,1.716,5891
2/10/22,1INCHBUSD,1.801,7835
2/9/22,1INCHBUSD,1.923,4972
2/8/22,1INCHBUSD,1.859,7652
2/7/22,1INCHBUSD,1.939,5817
2/6/22,1INCHBUSD,1.86,5659
2/5/22,1INCHBUSD,1.788,6564
2/4/22,1INCHBUSD,1.764,5043
2/3/22,1INCHBUSD,1.657,3369
2/2/22,1INCHBUSD,1.632,5128
2/1/22,1INCHBUSD,1.706,3770
1/31/22,1INCHBUSD,1.686,3503
1/30/22,1INCHBUSD,1.663,3118
1/29/22,1INCHBUSD,1.713,4221
1/28/22,1INCHBUSD,1.648,5974
1/27/22,1INCHBUSD,1.591,4119
1/26/22,1INCHBUSD,1.631,7721
1/25/22,1INCHBUSD,1.594,3863
1/24/22,1INCHBUSD,1.585,6486
1/23/22,1INCHBUSD,1.691,4942
1/22/22,1INCHBUSD,1.614,10398
1/21/22,1INCHBUSD,1.845,16339
1/20/22,1INCHBUSD,2.04,7307
1/19/22,1INCHBUSD,2.089,5378
1/18/22,1INCHBUSD,2.19,6169
1/17/22,1INCHBUSD,2.245,7956
1/16/22,1INCHBUSD,2.432,9956
1/15/22,1INCHBUSD,2.389,6283
1/14/22,1INCHBUSD,2.37,12107
1/13/22,1INCHBUSD,2.348,35925
1/12/22,1INCHBUSD,2.243,6794
1/11/22,1INCHBUSD,2.15,6397
1/10/22,1INCHBUSD,2.08,9384
1/9/22,1INCHBUSD,2.15,6170
1/8/22,1INCHBUSD,2.126,11214
1/7/22,1INCHBUSD,2.184,18626
1/6/22,1INCHBUSD,2.346,15749
1/5/22,1INCHBUSD,2.317,19227
1/4/22,1INCHBUSD,2.477,14863
1/3/22,1INCHBUSD,2.562,16570
1/2/22,1INCHBUSD,2.553,7926
